#ZVView-data-copy:  22-Jun-2021 19:38:43
#=======================================
#
#name:   ENDF/B-VI: HE-3(D,P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  847
#data...
#            X            Y
#          MeV        barns
     0.0108701   2.01175e-9 
     0.0109501   2.20431e-9 
     0.0110301   2.41283e-9 
     0.0111101   2.63843e-9 
     0.0111901   2.88229e-9 
     0.0112701   3.14565e-9 
     0.0113501   3.42981e-9 
     0.0114301   3.73616e-9 
     0.0115201   4.10913e-9 
     0.0116101   4.51419e-9 
     0.0117001   4.95366e-9 
     0.0117901   5.42998e-9 
     0.0118801   5.94572e-9 
     0.0119701   6.50361e-9 
     0.0120601    7.1065e-9 
     0.0121501   7.75743e-9 
     0.0122401   8.45957e-9 
     0.0123401   9.30387e-9 
     0.0124401   1.02204e-8 
     0.0125401   1.12142e-8 
     0.0126401   1.22907e-8 
     0.0127401   1.34556e-8 
     0.0128401    1.4715e-8 
     0.0129401    1.6075e-8 
     0.0130501   1.76953e-8 
     0.0131601   1.94548e-8 
     0.0132701   2.13633e-8 
     0.0133801   2.34311e-8 
     0.0134901   2.56693e-8 
     0.0136001   2.80893e-8 
     0.0137101   3.07031e-8 
     0.0138301   3.37905e-8 
     0.0139501   3.71411e-8 
     0.0140701   4.07732e-8 
     0.0141901   4.47059e-8 
     0.0143101   4.89594e-8 
     0.0144301   5.35552e-8 
     0.0145601   5.89459e-8 
     0.0146901   6.47941e-8 
     0.0148201   7.11313e-8 
     0.0149501   7.79905e-8 
     0.0150801   8.54062e-8 
     0.0152201   9.40566e-8 
     0.0153601   1.03442e-7 
     0.0155001   1.13614e-7 
     0.0156401   1.24623e-7 
     0.0157801   1.36526e-7 
     0.0159301   1.50337e-7 
     0.0160801   1.65314e-7 
     0.0162301   1.81537e-7 
     0.0163801   1.99088e-7 
     0.0165401   2.19369e-7 
     0.0167001   2.41369e-7 
     0.0168601   2.65203e-7 
     0.0170201   2.90991e-7 
     0.0171901   3.20674e-7 
     0.0173601   3.52864e-7 
     0.0175301   3.87728e-7 
     0.0177001   4.25439e-7 
     0.0178801   4.68676e-7 
     0.0180601   5.15536e-7 
     0.0182401   5.66255e-7 
     0.0184301   6.24251e-7 
     0.0186201   6.87128e-7 
     0.0188101   7.55201e-7 
     0.0190101   8.32838e-7 
     0.0192101   9.17006e-7 
     0.0194101   1.00813e-6 
     0.0196201   1.11177e-6 
     0.0198301    1.2241e-6 
     0.0200401   1.34568e-6 
     0.0202601   1.48358e-6 
     0.0204801   1.63297e-6 
     0.0207001   1.79455e-6 
     0.0209301   1.97734e-6 
     0.0211601   2.17518e-6 
     0.0214001   2.39869e-6 
     0.0216401   2.64071e-6 
     0.0218901   2.91374e-6 
     0.0221401   3.20945e-6 
     0.0224001   3.54257e-6 
     0.0226601   3.90339e-6 
     0.0229301   4.30923e-6 
     0.0232001   4.74876e-6 
     0.0234801   5.24235e-6 
     0.0237601   5.77678e-6 
     0.0240501   6.37597e-6 
     0.0243401   7.02445e-6 
     0.0246401   7.75031e-6 
     0.0249401   8.53545e-6 
     0.0252501   9.41276e-6 
     0.0255701   1.03929e-5 
     0.0258901   1.14533e-5 
     0.0262201   1.26358e-5 
     0.0265601   1.39542e-5 
     0.0269101   1.54237e-5 
     0.0272601   1.70139e-5 
     0.0276201   1.87827e-5 
     0.0279901   2.07496e-5 
     0.0283701   2.29359e-5 
     0.0287501   2.53004e-5 
     0.0291401   2.79227e-5 
     0.0295401   3.08299e-5 
     0.0299501   3.40512e-5 
     0.0303701   3.76187e-5 
     0.0308001   4.15674e-5 
     0.0312401   4.59354e-5 
     0.0316901    5.0764e-5 
     0.0321501   5.60983e-5 
     0.0326201   6.19872e-5 
     0.0331101   6.86242e-5 
     0.0336101   7.59483e-5 
     0.0341201   8.40239e-5 
     0.0346401   9.29202e-5 
     0.0351801  0.000102904 
     0.0357301  0.000113894 
     0.0362901  0.000125979 
     0.0368701  0.000139498 
     0.0374701   0.00015461 
     0.0380801  0.000171209 
     0.0387101  0.000189725 
     0.0393601  0.000210364 
     0.0400201  0.000232993 
     0.0407001  0.000258159 
     0.0414001   0.00028612 
     0.0421201  0.000317159 
     0.0428601  0.000351582 
     0.0436301  0.000390242 
     0.0444201  0.000433057 
     0.0452301  0.000480421 
     0.0460701  0.000533412 
     0.0469301  0.000591932 
     0.0478201   0.00065724 
     0.0487401  0.000730044 
     0.0496901  0.000811111 
     0.0506701  0.000901274 
     0.0516801   0.00100143 
     0.0527301   0.00111366 
     0.0538101   0.00123805 
     0.0549301   0.00137703 
     0.0560901   0.00153211 
     0.0572901    0.0017049 
     0.0585301   0.00189717 
     0.0598201   0.00211252 
     0.0611601   0.00235336 
     0.0625501   0.00262231 
     0.0639901   0.00292217 
     0.0654901   0.00325828 
     0.0670501   0.00363439 
     0.0686701   0.00405455 
     0.0703501   0.00452309 
     0.0721001   0.00504778 
     0.0739301    0.0056376 
     0.0758301   0.00629577 
     0.0778101   0.00703268 
     0.0798801   0.00786026 
     0.0820401   0.00878778 
     0.0843001   0.00982994 
     0.0866601    0.0109984 
     0.0891301    0.0123112 
     0.0917101    0.0137828 
     0.0944101    0.0154351 
     0.0972401    0.0172929 
        0.1002    0.0193769 
        0.1033     0.021717 
        0.1065     0.024305 
        0.1099    0.0272502 
        0.1134    0.0304966 
        0.1171    0.0341692 
         0.121    0.0383133 
        0.1251    0.0429772 
        0.1294     0.048213 
        0.1339    0.0540766 
        0.1386    0.0606276 
        0.1436    0.0680838 
        0.1488    0.0763798 
        0.1543    0.0857653 
        0.1601    0.0963539 
        0.1662     0.108267 
        0.1726     0.121634 
        0.1794     0.136822 
        0.1866     0.154019 
        0.1942     0.173422 
        0.2023      0.19551 
         0.211     0.220836 
        0.2204     0.250016 
